Link #,Source ID,Source Post,Source URL,Target URL,Target Page,Suggested Anchor Text,Link Type,Placement,Priority,Why,Status,Date Done,Verified Anchor Text,Match Type,Original Snippet,Proposed Rewrite,Section / Placement Note,Confidence,Notes
1,1,#1 Seasonal Demand Spikes: Inventory Planning for Corporate Gifting Brands,https://buyience.com/blog/seasonal-demand-spikes-inventory-planning-for-corporate-gifting-brands,https://buyience.com/blog/b2b-corporate-gifting-at-scale-quoting-bulk-pricing-and-order-management,"#7 B2B Corporate Gifting at Scale: Quoting, Bulk Pricing, and Order Management",corporate gifting at scale,Spoke → Pillar,First 150 words / intro,High,Pass authority to cluster pillar,To do,,Corporate gifting at scale,exact,…at fluctuates but doesn't swing wildly from month to month. Corporate gifting at scale doesn't work that way. A large share of annual volume can l…,,Intro,high,Sheet wanted 'corporate gifting at scale'; minimal intro tweak | Applied safe rewrite in MDX; now exact
2,1,#1 Seasonal Demand Spikes: Inventory Planning for Corporate Gifting Brands,https://buyience.com/blog/seasonal-demand-spikes-inventory-planning-for-corporate-gifting-brands,https://buyience.com/inventory-management,/inventory-management (product page),inventory management software,Blog → Money page,Before conclusion / CTA block,High,Converts blog traffic; lifts product page,To do,,inventory system,exact,"The corollary to all of this: any operational change — new quoting process, new inventory system, new fulfillment workflow — should happen during a slow period, never in the run-up to peak.",,Step 6: Do the infrastructure work in the off-season (CTA-adjacent),high,Money page; closest exact match to sheet 'inventory management software'; sits immediately before Nova Core | subagent rematch
3,1,#1 Seasonal Demand Spikes: Inventory Planning for Corporate Gifting Brands,https://buyience.com/blog/seasonal-demand-spikes-inventory-planning-for-corporate-gifting-brands,https://buyience.com/blog/managing-custom-and-bulk-orders-for-corporate-gift-programs,#4 Managing Custom and Bulk Orders for Corporate Gift Programs,bulk corporate gift order workflow,Sibling (same cluster),Relevant body section,Medium,Topical depth within cluster,To do,,Multi-recipient bulk orders,exact,Multi-recipient bulk orders are labor-intensive to pack and ship.,,"Step 4: Plan capacity, not just inventory",high,Natural body phrase for custom/bulk gift-order spoke | subagent rematch
4,1,#1 Seasonal Demand Spikes: Inventory Planning for Corporate Gifting Brands,https://buyience.com/blog/seasonal-demand-spikes-inventory-planning-for-corporate-gifting-brands,https://buyience.com/blog/multi-warehouse-inventory-for-industrial-suppliers-a-practical-guide,#2 Multi-Warehouse Inventory for Industrial Suppliers: A Practical Guide,multi-warehouse inventory,Cross-cluster bridge,Relevant body section,Medium,Connects related intent across clusters,To do,,multi-warehouse inventory,exact,"Nova Core's multi-warehouse inventory tracks available-to-promise stock in real time, so quoting during peak reflects what's genuinely available rather than a stale snapshot — and large orders in negotiation can be flagged against inventory before they're confirmed.",,How Nova Core supports seasonal planning,high,Unique vs link 2; product-adjacent exact match for multi-warehouse guide | subagent rematch
5,2,#2 Multi-Warehouse Inventory for Industrial Suppliers: A Practical Guide,https://buyience.com/blog/multi-warehouse-inventory-for-industrial-suppliers-a-practical-guide,https://buyience.com/blog/industrial-supply-distributors-moving-from-phone-email-orders-to-self-service,#8 Industrial Supply Distributors: Moving From Phone/Email Orders to Self-Service,moving from phone/email orders to self-service,Spoke → Pillar,First 150 words / intro,High,Pass authority to cluster pillar,To do,,self-service ordering,exact,"…the information doesn't make it back to sales, quoting, and self-service ordering in real time. A rep quoting a customer needs to know, at th…",,Step 3: Build real-time visibility into quoting and sales,high,No self-service phrase in source; minimal list insert | Applied safe rewrite in MDX; now exact
6,2,#2 Multi-Warehouse Inventory for Industrial Suppliers: A Practical Guide,https://buyience.com/blog/multi-warehouse-inventory-for-industrial-suppliers-a-practical-guide,https://buyience.com/inventory-management,/inventory-management (product page),inventory management software,Blog → Money page,Before conclusion / CTA block,High,Converts blog traffic; lifts product page,To do,,multi-warehouse inventory,exact,"Nova Core's multi-warehouse inventory tracks live stock across locations with real-time updates that flow directly into quoting and the customer storefront — so a quote reflects actual, available-to-promise inventory at the moment it's built, not a stale snapshot.",,How Nova Core handles this,high,Money page; product mention at CTA | subagent rematch
7,2,#2 Multi-Warehouse Inventory for Industrial Suppliers: A Practical Guide,https://buyience.com/blog/multi-warehouse-inventory-for-industrial-suppliers-a-practical-guide,https://buyience.com/blog/net-30-60-90-terms-in-industrial-distribution-what-actually-works,#3 Net 30/60/90 Terms in Industrial Distribution: What Actually Works,setting a credit terms policy,Sibling (same cluster),Relevant body section,Medium,Topical depth within cluster,To do,,Net 30/60/90 terms,rewrite,"A rep quoting a customer needs to know, at the moment of quoting, what's actually available and where it would ship from, not a number that was accurate as of this morning's manual export.","A rep quoting a customer needs to know, at the moment of quoting, what's actually available, where it would ship from, and which Net 30/60/90 terms apply — not a number that was accurate as of this morning's manual export.",Step 3: Build real-time visibility into quoting and sales,medium,No payment-terms phrase in source; quoting is the natural bridge | subagent rematch
8,2,#2 Multi-Warehouse Inventory for Industrial Suppliers: A Practical Guide,https://buyience.com/blog/multi-warehouse-inventory-for-industrial-suppliers-a-practical-guide,https://buyience.com/blog/seasonal-demand-spikes-inventory-planning-for-corporate-gifting-brands,#1 Seasonal Demand Spikes: Inventory Planning for Corporate Gifting Brands,corporate gifting inventory planning,Cross-cluster bridge,Relevant body section,Medium,Connects related intent across clusters,To do,,seasonal demand spikes,exact,"…ock between warehouses — to rebalance inventory, respond to seasonal demand spikes or regional demand shifts, or consolidate for a large order…",,Step 4: Handle transfers deliberately,high,Cross-cluster; demand-shift clause is the natural insert point | Applied safe rewrite in MDX; now exact
9,3,#3 Net 30/60/90 Terms in Industrial Distribution: What Actually Works,https://buyience.com/blog/net-30-60-90-terms-in-industrial-distribution-what-actually-works,https://buyience.com/blog/industrial-supply-distributors-moving-from-phone-email-orders-to-self-service,#8 Industrial Supply Distributors: Moving From Phone/Email Orders to Self-Service,B2B self-service ordering,Spoke → Pillar,First 150 words / intro,High,Pass authority to cluster pillar,To do,,self-service ordering,exact,"…lass part of the same system that handles pricing, quoting, self-service ordering, and orders — rather than a side process — removes the gap…",,What breaks when terms live disconnected from your order system,high,No self-service phrase in source | Applied safe rewrite in MDX; now exact
10,3,#3 Net 30/60/90 Terms in Industrial Distribution: What Actually Works,https://buyience.com/blog/net-30-60-90-terms-in-industrial-distribution-what-actually-works,https://buyience.com/order-management,/order-management (product page),B2B order management,Blog → Money page,Before conclusion / CTA block,High,Converts blog traffic; lifts product page,To do,,order management,exact,"Nova Core supports Net 30/60/90 terms natively as part of the order management workflow, tied to the same customer record used for pricing and quoting — so terms are visible and consistent at every stage, not managed separately from the rest of the sales process.",,How Nova Core handles this,high,Money page; product-adjacent | subagent rematch
